Data;CasosDia
2023-04-09;1
2023-04-10;23
2023-04-11;19
2023-04-12;17
2023-04-13;9
2023-04-14;15
2023-04-15;7
2023-04-16;2
2023-04-17;9
2023-04-18;6
2023-04-19;9
2023-04-20;14
2023-04-21;1
2023-04-22;1
2023-04-23;1
2023-04-24;22
2023-04-25;10
2023-04-26;15
2023-04-27;20
2023-04-28;10
2023-04-29;3
2023-04-30;1
2023-05-01;8
2023-05-02;10
2023-05-03;9
2023-05-04;7
2023-05-05;13
2023-05-06;2
2023-05-07;4
2023-05-08;7
2023-05-09;20
2023-05-10;5
2023-05-11;9
2023-05-12;5
2023-05-13;1
2023-05-14;1
2023-05-15;7
2023-05-16;9
2023-05-17;9
2023-05-18;12
2023-05-19;9
2023-05-20;1
2023-05-21;0
2023-05-22;10
2023-05-23;3
2023-05-24;9
2023-05-25;9
2023-05-26;5
2023-05-27;1
2023-05-28;2
2023-05-29;6
2023-05-30;6
2023-05-31;4
2023-06-01;2
2023-06-02;2
2023-06-03;0
2023-06-04;0
2023-06-05;3
2023-06-06;4
2023-06-07;7
2023-06-08;0
2023-06-09;2
2023-06-10;2
2023-06-11;0
2023-06-12;5
2023-06-13;2
2023-06-14;2
2023-06-15;3
2023-06-16;3
2023-06-17;0
2023-06-18;0
2023-06-19;2
2023-06-20;0
2023-06-21;3
2023-06-22;1
2023-06-23;1
2023-06-24;0
2023-06-25;0
2023-06-26;2
2023-06-27;3
2023-06-28;1
2023-06-29;1
2023-06-30;1
2023-07-01;0
2023-07-02;1
2023-07-03;2
2023-07-04;0
2023-07-05;2
2023-07-06;4
2023-07-07;1
2023-07-08;1
2023-07-09;0
2023-07-10;1
2023-07-11;2
2023-07-12;0
2023-07-13;0
2023-07-14;1
2023-07-15;1
2023-07-16;0
2023-07-17;2
2023-07-18;0
2023-07-19;0
2023-07-20;2
2023-07-21;1
2023-07-22;0
2023-07-23;0
2023-07-24;1
2023-07-25;0
2023-07-26;1
2023-07-27;0
2023-07-28;4
2023-07-29;0
2023-07-30;0
2023-07-31;3
2023-08-01;3
2023-08-02;0
2023-08-03;1
2023-08-04;1
2023-08-05;0
2023-08-06;0
2023-08-07;4
2023-08-08;0
2023-08-09;2
2023-08-10;1
2023-08-11;1
2023-08-12;0
2023-08-13;0
2023-08-14;2
2023-08-15;1
2023-08-16;2
2023-08-17;1
2023-08-18;1
2023-08-19;0
2023-08-20;0
2023-08-21;2
2023-08-22;2
2023-08-23;1
2023-08-24;2
2023-08-25;4
2023-08-26;1
2023-08-27;0
2023-08-28;2
2023-08-29;3
2023-08-30;4
2023-08-31;3
2023-09-01;7
2023-09-02;1
2023-09-03;1
2023-09-04;5
2023-09-05;2
2023-09-06;0
2023-09-07;0
2023-09-08;1
2023-09-09;1
2023-09-10;1
2023-09-11;6
2023-09-12;12
2023-09-13;17
2023-09-14;10
2023-09-15;8
2023-09-16;1
2023-09-17;1
2023-09-18;21
2023-09-19;9
2023-09-20;4
2023-09-21;24
2023-09-22;21
2023-09-23;2
2023-09-24;0
2023-09-25;16
2023-09-26;19
2023-09-27;21
2023-09-28;8
2023-09-29;16
2023-09-30;4
2023-10-01;3
2023-10-02;28
2023-10-03;26
2023-10-04;23
2023-10-05;34
2023-10-06;28
2023-10-07;8
2023-10-08;2
2023-10-09;20
2023-10-10;29
2023-10-11;22
2023-10-12;2
2023-10-13;10
2023-10-14;4
2023-10-15;5
2023-10-16;50
2023-10-17;31
2023-10-18;35
2023-10-19;68
2023-10-20;38
2023-10-21;12
2023-10-22;2
2023-10-23;53
2023-10-24;47
2023-10-25;41
2023-10-26;53
2023-10-27;41
2023-10-28;9
2023-10-29;5
2023-10-30;64
2023-10-31;31
2023-11-01;42
2023-11-02;3
2023-11-03;8
2023-11-04;3
2023-11-05;1
2023-11-06;30
2023-11-07;72
2023-11-08;34
2023-11-09;24
2023-11-10;29
2023-11-11;11
2023-11-12;1
2023-11-13;6
2023-11-14;2
2023-11-15;3
2023-11-16;23
2023-11-17;12
2023-11-18;2
2023-11-19;2
2023-11-20;20
2023-11-21;8
