Data;CasosDia;Temp. Ins. (C);Umi. Ins. (%);Chuva (mm);CasosDiasTarget
2022-12-21;155;23.3875;68.66666666666667;4.453935660506502;163
2022-12-22;60;21.975;67.66666666666667;4.453935660506502;102
2022-12-23;36;21.291666666666668;78.66666666666667;4.453935660506502;52
2022-12-24;117;21.029166666666665;78.41666666666667;4.453935660506502;27
2022-12-25;156;20.9625;69.375;4.453935660506502;8
2022-12-26;163;22.05;68.0;4.453935660506502;160
2022-12-27;102;21.3875;68.125;4.453935660506502;133
2022-12-28;52;21.133333333333333;68.41666666666667;4.453935660506502;116
2022-12-29;27;22.0;67.16666666666667;4.453935660506502;100
2022-12-30;8;21.92083333333333;71.70833333333333;0.2;39
2022-12-31;160;24.004166666666663;68.29166666666667;4.453935660506502;14
2023-01-01;133;24.4625;67.0;4.453935660506502;2
2023-01-02;116;23.09166666666667;78.375;5.2;72
2023-01-03;100;21.7875;63.458333333333336;4.453935660506502;75
2023-01-04;39;22.995833333333334;61.125;4.453935660506502;110
2023-01-05;14;24.5625;68.41666666666667;4.453935660506502;60
2023-01-06;2;25.370833333333334;72.29166666666667;4.453935660506502;36
2023-01-07;72;21.616666666666664;84.625;40.8;13
2023-01-08;75;21.15;86.125;14.8;8
2023-01-09;110;20.308333333333334;77.375;5.0;65
2023-01-10;60;20.625;61.54166666666666;4.453935660506502;50
2023-01-11;36;20.4625;60.75;4.453935660506502;29
2023-01-12;13;21.2;64.16666666666667;4.453935660506502;21
2023-01-13;8;21.354166666666668;68.625;4.453935660506502;22
2023-01-14;65;21.579166666666666;72.375;4.453935660506502;2
2023-01-15;50;21.183333333333334;78.54166666666667;4.453935660506502;1
2023-01-16;29;23.3125;74.625;4.453935660506502;26
2023-01-17;21;22.258333333333336;78.16666666666667;4.453935660506502;26
2023-01-18;22;20.991666666666667;85.79166666666667;13.0;26
2023-01-19;2;21.416666666666668;84.16666666666667;37.400000000000006;47
2023-01-20;1;20.804166666666667;88.70833333333333;7.0;15
2023-01-21;26;24.27083333333333;76.91666666666667;0.2;1
2023-01-22;26;22.54583333333333;82.75;0.2;2
2023-01-23;26;22.820833333333336;79.25;4.453935660506502;22
2023-01-24;47;22.879166666666663;76.875;4.453935660506502;46
2023-01-25;15;23.46666666666667;76.91666666666667;4.453935660506502;16
2023-01-26;1;23.325;79.625;0.2;19
2023-01-27;2;21.375;82.91666666666667;1.6;10
2023-01-28;22;24.1125;71.79166666666667;4.453935660506502;5
2023-01-29;46;25.14583333333333;66.54166666666667;4.453935660506502;5
2023-01-30;16;26.191666666666663;58.54166666666666;4.453935660506502;13
2023-01-31;19;25.704166666666666;59.208333333333336;4.453935660506502;13
2023-02-01;10;25.15;59.333333333333336;4.453935660506502;19
2023-02-02;5;25.758333333333336;66.08333333333333;4.453935660506502;10
2023-02-03;5;24.84583333333333;71.66666666666667;4.453935660506502;9
2023-02-04;13;21.7125;83.33333333333333;50.8;1
2023-02-05;13;20.4125;91.91666666666669;4.2;1
2023-02-06;19;21.7625;86.29166666666667;10.6;13
2023-02-07;10;23.245833333333334;82.54166666666667;0.2;15
2023-02-08;9;20.64583333333333;89.33333333333333;27.0;17
2023-02-09;1;22.875;79.16666666666667;3.4000000000000004;10
2023-02-10;1;23.254166666666663;67.375;4.453935660506502;15
2023-02-11;13;23.75;58.54166666666666;4.453935660506502;4
2023-02-12;15;24.825;51.958333333333336;4.453935660506502;2
2023-02-13;17;24.65833333333333;54.208333333333336;4.453935660506502;24
2023-02-14;10;24.8125;58.66666666666666;4.453935660506502;10
2023-02-15;15;21.495833333333334;82.125;46.4;28
2023-02-16;4;21.7375;78.66666666666667;2.2;24
2023-02-17;2;23.979166666666668;74.625;0.2;17
2023-02-18;24;22.125;81.79166666666667;12.4;2
2023-02-19;10;20.70833333333333;90.54166666666669;21.2;1
2023-02-20;28;20.716666666666665;86.125;74.2;5
2023-02-21;24;19.6875;87.75;1.8;7
2023-02-22;17;19.5875;88.375;21.0;19
2023-02-23;2;17.7375;67.625;4.453935660506502;30
2023-02-24;1;18.9375;68.125;4.453935660506502;17
2023-02-25;5;17.316666666666666;87.375;62.6;6
2023-02-26;7;20.7125;80.04166666666667;4.2;8
2023-02-27;19;20.73333333333333;84.91666666666667;49.4;28
2023-02-28;30;20.604166666666668;87.95833333333333;11.0;12
2023-03-01;17;19.879166666666663;86.08333333333333;27.6;23
2023-03-02;6;22.3875;78.58333333333333;4.453935660506502;19
2023-03-03;8;21.20833333333333;80.58333333333333;29.0;31
2023-03-04;28;20.33333333333333;81.29166666666667;0.4;3
2023-03-05;12;21.52916666666667;76.41666666666667;9.2;4
2023-03-06;23;20.85833333333333;77.70833333333333;0.4;35
2023-03-07;19;20.404166666666665;81.83333333333333;11.8;16
2023-03-08;31;20.775;86.20833333333333;1.0;20
2023-03-09;3;23.6375;78.625;3.0;20
2023-03-10;4;23.475;73.16666666666667;4.453935660506502;34
2023-03-11;35;23.8875;67.54166666666667;4.453935660506502;2
2023-03-12;16;24.5;64.45833333333333;4.453935660506502;13
2023-03-13;20;22.929166666666664;75.08333333333333;4.453935660506502;33
2023-03-14;20;21.741666666666664;79.375;16.0;29
2023-03-15;34;22.17083333333333;76.83333333333333;4.453935660506502;28
2023-03-16;2;22.554166666666664;75.54166666666667;4.453935660506502;14
2023-03-17;13;22.641666666666666;74.625;4.453935660506502;24
2023-03-18;33;21.554166666666664;81.875;5.8;16
2023-03-19;29;21.7375;83.70833333333333;6.8;1
2023-03-20;28;22.0875;82.5;2.8;24
2023-03-21;14;22.354166666666668;78.04166666666667;4.453935660506502;24
2023-03-22;24;24.004166666666663;70.08333333333333;4.453935660506502;29
2023-03-23;16;24.683333333333334;63.833333333333336;4.453935660506502;18
2023-03-24;1;22.28333333333333;71.66666666666667;1.4;7
2023-03-25;24;23.85;66.33333333333333;4.453935660506502;10
2023-03-26;24;24.7375;65.95833333333333;4.453935660506502;2
2023-03-27;29;25.308333333333334;62.458333333333336;4.453935660506502;15
2023-03-28;18;25.48333333333333;61.66666666666666;4.453935660506502;15
2023-03-29;7;26.104166666666668;60.375;0.4;20
2023-03-30;10;25.054166666666664;65.20833333333333;4.453935660506502;10
2023-03-31;2;23.34583333333333;72.5;4.453935660506502;13
2023-04-01;15;22.5625;64.375;4.453935660506502;2
2023-04-02;15;23.808333333333334;71.0;4.453935660506502;0
2023-04-03;20;23.78333333333333;73.625;8.4;17
2023-04-04;10;20.454166666666666;78.95833333333333;8.4;36
2023-04-05;13;22.566666666666663;69.41666666666667;4.453935660506502;24
2023-04-06;2;23.48333333333333;72.5;4.453935660506502;28
2023-04-07;0;22.1125;53.583333333333336;4.453935660506502;13
2023-04-08;17;22.304166666666664;63.41666666666666;4.453935660506502;4
2023-04-09;36;22.90833333333333;67.08333333333333;1.8;1
2023-04-10;24;22.504166666666663;64.95833333333333;4.453935660506502;23
2023-04-11;28;18.375;84.54166666666667;27.4;19
2023-04-12;13;19.47083333333333;84.125;0.6000000000000001;17
2023-04-13;4;20.375;82.25;4.453935660506502;9
2023-04-14;1;20.995833333333334;77.83333333333333;4.453935660506502;15
2023-04-15;23;21.65416666666667;73.29166666666667;0.4;7
2023-04-16;19;22.20833333333333;68.33333333333333;4.453935660506502;2
2023-04-17;17;22.3625;61.833333333333336;4.453935660506502;9
2023-04-18;9;21.3625;69.70833333333333;30.4;6
2023-04-19;15;20.154166666666665;80.625;4.453935660506502;9
2023-04-20;7;20.216666666666665;81.5;4.453935660506502;14
2023-04-21;2;20.97083333333333;83.79166666666667;1.6;1
2023-04-22;9;19.1875;92.75;51.4;1
2023-04-23;6;19.45416666666667;83.95833333333333;12.6;1
2023-04-24;9;14.845833333333331;70.75;4.453935660506502;22
2023-04-25;14;14.354166666666666;64.625;4.453935660506502;10
2023-04-26;1;15.195833333333333;59.66666666666666;4.453935660506502;15
2023-04-27;1;16.941666666666666;62.708333333333336;4.453935660506502;20
2023-04-28;1;18.10833333333333;68.33333333333333;4.453935660506502;10
2023-04-29;22;20.129166666666663;66.5;4.453935660506502;3
2023-04-30;10;19.6;72.58333333333333;25.0;1
2023-05-01;15;17.375;87.58333333333333;6.0;8
2023-05-02;20;16.983333333333334;79.79166666666667;4.453935660506502;10
2023-05-03;10;17.099999999999998;74.08333333333333;4.453935660506502;9
2023-05-04;3;17.854166666666668;76.25;4.453935660506502;7
2023-05-05;1;18.0625;75.625;4.453935660506502;13
2023-05-06;8;20.191666666666663;70.16666666666667;4.453935660506502;2
2023-05-07;10;20.933333333333334;75.04166666666667;4.453935660506502;4
2023-05-08;9;18.575;90.66666666666669;27.8;7
2023-05-09;7;20.591666666666665;87.91666666666667;0.2;20
2023-05-10;13;21.72083333333333;82.5;4.453935660506502;5
2023-05-11;2;21.6375;78.20833333333333;4.453935660506502;9
2023-05-12;4;21.075;79.625;4.453935660506502;5
2023-05-13;7;19.716666666666665;85.08333333333333;29.6;1
2023-05-14;20;18.179166666666667;82.04166666666667;4.453935660506502;1
2023-05-15;5;16.970833333333335;68.04166666666667;4.453935660506502;7
2023-05-16;9;14.170833333333334;64.125;4.453935660506502;9
2023-05-17;5;13.554166666666667;63.583333333333336;4.453935660506502;9
2023-05-18;1;14.079166666666667;64.54166666666667;4.453935660506502;12
2023-05-19;1;15.6;61.54166666666666;4.453935660506502;9
2023-05-20;7;17.075;60.29166666666666;4.453935660506502;1
2023-05-21;9;17.816666666666666;53.5;4.453935660506502;0
2023-05-22;9;16.158333333333335;64.16666666666667;4.453935660506502;10
2023-05-23;12;15.525;71.83333333333333;4.453935660506502;3
2023-05-24;9;15.058333333333332;71.45833333333333;4.453935660506502;9
2023-05-25;1;15.366666666666667;73.75;4.453935660506502;9
2023-05-26;0;16.570833333333333;73.54166666666667;4.453935660506502;5
2023-05-27;10;16.916666666666668;77.54166666666667;4.6;1
2023-05-28;3;18.83333333333333;71.83333333333333;4.453935660506502;2
2023-05-29;9;18.3375;69.66666666666667;4.453935660506502;6
2023-05-30;9;18.425;69.54166666666667;4.453935660506502;6
2023-05-31;5;18.6625;71.875;4.453935660506502;4
2023-06-01;1;17.6375;82.125;4.0;2
